name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Lachnospiraceae	186803	F	105607	2966	108573	0.23941
Oscillospiraceae	216572	F	74652	4174	78826	0.17382
Clostridiaceae	31979	F	209	76	285	0.00063
Eubacteriaceae	186806	F	55	1	56	0.00012
Acutalibacteraceae	3082771	F	13	0	13	0.00003
Peptostreptococcaceae	186804	F	70	2	72	0.00016
Bacillaceae	186817	F	107744	1465	109209	0.24082
Paenibacillaceae	186822	F	19	0	19	0.00004
Streptococcaceae	1300	F	31	1	32	0.00007
Lactobacillaceae	33958	F	10	0	10	0.00002
Erysipelotrichaceae	128827	F	24	0	24	0.00005
Coprobacillaceae	2810280	F	14	0	14	0.00003
Bifidobacteriaceae	31953	F	81	3	84	0.00019
Streptomycetaceae	2062	F	11	0	11	0.00002
Enterobacteriaceae	543	F	131166	675	131841	0.29072
Yersiniaceae	1903411	F	12	0	12	0.00003
Morganellaceae	1903414	F	12	0	12	0.00003
Erwiniaceae	1903409	F	11	0	11	0.00002
Flavobacteriaceae	49546	F	11	0	11	0.00002
Bacteroidaceae	815	F	10	0	10	0.00002
Hominidae	9604	F	24366	0	24366	0.05373
