name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Lachnospirales	3085636	O	105609	2966	108575	0.23938
Eubacteriales	186802	O	75315	3879	79194	0.17460
Peptostreptococcales	3082720	O	75	2	77	0.00017
Bacillales	1385	O	107779	1462	109241	0.24085
Lactobacillales	186826	O	48	0	48	0.00011
Erysipelotrichales	526525	O	38	0	38	0.00008
Bifidobacteriales	85004	O	81	3	84	0.00019
Kitasatosporales	85011	O	11	0	11	0.00002
Micrococcales	85006	O	10	0	10	0.00002
Enterobacterales	91347	O	131503	389	131892	0.29079
Flavobacteriales	200644	O	16	0	16	0.00004
Bacteroidales	171549	O	14	0	14	0.00003
Primates	9443	O	24366	0	24366	0.05372
