name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Roseburia	841	G	96125	8336	104461	0.23048
Agathobacter	1766253	G	1216	97	1313	0.00290
Anaerostipes	207244	G	557	11	568	0.00125
Enterocloster	2719313	G	374	3	377	0.00083
Simiaoa	2944193	G	346	11	357	0.00079
Blautia	572511	G	272	10	282	0.00062
Wujia	2944152	G	239	10	249	0.00055
Anaerobutyricum	2569097	G	229	6	235	0.00052
Mediterraneibacter	2316020	G	158	111	269	0.00059
Butyrivibrio	830	G	109	3	112	0.00025
Dorea	189330	G	68	4	72	0.00016
Lachnospira	28050	G	61	0	61	0.00013
Lachnoclostridium	1506553	G	46	0	46	0.00010
Coprococcus	33042	G	44	8	52	0.00011
Qiania	2944195	G	29	0	29	0.00006
Lacrimispora	2719231	G	24	0	24	0.00005
Marvinbryantia	248744	G	21	0	21	0.00005
Sellimonas	1769710	G	17	0	17	0.00004
Faecalibacterium	216851	G	73792	4716	78508	0.17322
Vescimonas	2892396	G	72	2	74	0.00016
Ruthenibacterium	1905344	G	47	0	47	0.00010
Ruminococcus	1263	G	45	20	65	0.00014
Subdoligranulum	292632	G	42	0	42	0.00009
Flavonifractor	946234	G	23	0	23	0.00005
Pusillibacter	2892397	G	13	0	13	0.00003
Oscillibacter	459786	G	12	5	17	0.00004
Clostridium	1485	G	193	8	201	0.00044
Hungatella	1649459	G	16	0	16	0.00004
Massilistercora	2717089	G	55	1	56	0.00012
Eubacterium	1730	G	55	1	56	0.00012
Acutalibacter	1918385	G	11	0	11	0.00002
Clostridioides	1870884	G	68	2	70	0.00015
Bacillus	1386	G	107703	1485	109188	0.24091
Paenibacillus	44249	G	15	0	15	0.00003
Streptococcus	1301	G	31	1	32	0.00007
Amedibacterium	2749267	G	13	0	13	0.00003
Catenibacterium	135858	G	12	0	12	0.00003
Bifidobacterium	1678	G	81	3	84	0.00019
Enterobacter	547	G	128794	1502	130296	0.28748
Klebsiella	570	G	75	15	90	0.00020
Citrobacter	544	G	67	6	73	0.00016
Escherichia	561	G	64	1112	1176	0.00259
Salmonella	590	G	33	49	82	0.00018
Kosakonia	1330547	G	19	0	19	0.00004
Leclercia	83654	G	16	0	16	0.00004
Cedecea	158483	G	12	3	15	0.00003
Homo	9605	G	24366	0	24366	0.05376
