classifier,clade,tax_id,abcd,uhgg
xtree,1XD42-69 sp014287635,NaN,0.0040183911018498,0.0040183911018498
xtree,Agathobacter sp000434275,NaN,0.00320650700856146,0.00320650700856146
xtree,Bacillus cabrialesii,2487276,0.0316609930100882,0.0316609930100882
xtree,Bacillus halotolerans,260554,0.00199303246790385,0.00199303246790385
xtree,Bacillus inaquosorum,483913,0.0184557541818869,0.0184557541818869
xtree,Bacillus mojavensis,72360,0.00250900781049904,0.00250900781049904
xtree,Bacillus sp010093085,NaN,0.00509012783755356,0.00509012783755356
xtree,Bacillus spizizenii,96241,0.0222466188073634,0.0222466188073634
xtree,Bacillus subtilis,1423,0.12131015464340542,0.12131015464340542
xtree,Bacillus tequilensis,227866,0.0110306825048303,0.0110306825048303
xtree,Bacillus vallismortis,72361,0.00943799717021716,0.00943799717021716
xtree,Blautia A sp900066505,NaN,0.00175431616482366,0.00175431616482366
xtree,Butyribacter sp003149875,NaN,0.0017704792478447102,0.0017704792478447102
xtree,Butyribacter sp003529475,NaN,0.00125077396301389,0.00125077396301389
xtree,CAG-45 sp000438375,NaN,0.00162874144289085,0.00162874144289085
xtree,CAG-590 sp900548855,NaN,0.0014148914213815199,0.0014148914213815199
xtree,CAG-95 sp900066375,NaN,0.00153549288700016,0.00153549288700016
xtree,Enterobacter asburiae,61645,0.002966547391402727,0.002966547391402727
xtree,Enterobacter bugandensis,881260,0.0027452374854221397,0.0027452374854221397
xtree,Enterobacter chuandaensis,2497875,0.00171950337062447,0.00171950337062447
xtree,Enterobacter cloacae,550,0.23661758891560672,0.23661758891560672
xtree,Enterobacter hormaechei,158836,0.01849802686055737,0.01849802686055737
xtree,Enterobacter kobei,208224,0.00142981119032403,0.00142981119032403
xtree,Enterobacter mori,539813,0.00202287200578887,0.00202287200578887
xtree,Enterobacter oligotrophicus,2478464,0.00123585419407138,0.00123585419407138
xtree,Enterobacter quasihormaechei,2529382,0.0086285997050859,0.0086285997050859
xtree,Enterobacter sp000493015,NaN,0.001122712612924,0.001122712612924
xtree,Faecalibacterium prausnitzii,853,0.17717349950640449,0.17717349950640449
xtree,Lachnospira eligens,39485,0.0012370975081499212,0.0012370975081499212
xtree,Merdisoma sp900066385,NaN,0.00116249866343737,0.00116249866343737
xtree,Roseburia intestinalis,166486,0.18305934835422502,0.18305934835422502
xtree,Roseburia inulinivorans,360807,0.00414520913786115,0.00414520913786115
xtree,Roseburia sp003470905,NaN,0.0204599764764976,0.0204599764764976
xtree,Roseburia sp003483745,NaN,0.0120240904535858,0.0120240904535858
xtree,Spirillospora cremea,NaN,0.0011450922663377699,0.0011450922663377699
